Asset ID,Asset Name,Type,Owner,Location,Confidentiality,Integrity,Availability,Criticality
A1,Patient Database,Information,Medical Director,On-prem server,H,H,H,Critical
A2,Active Directory,System,IT Manager,Server room,H,H,H,Critical
A3,Telemedicine Platform,SaaS,Medical Director,Cloud,H,H,H,Critical
A4,Microsoft 365 ,SaaS,IT Manager,Cloud,H,H,H,Critical
A5,Backup System NAS,Infrastructure,IT Manager,Server room,H,H,H,Critical
A6,Laboratory IS,Application,Lab Director,On-prem VM,H,H,H,Critical
A7,Network Firewall,Infrastructure,IT Manager,Server room,M,H,H,High
A8,Doctor Laptops,Endpoint,IT Manager,Office / Remote,H,M,M,High
A9,Telemedicine Video Storage,Data,Medical Director,Cloud,H,M,M,High
A10,Electronic Health Record,Application,Medical Director,On-prem VM,H,H,H,Critical
